CHERBOURG EN COTENTIN	2006-01-31 00:00:00	1
SAINT LO	2006-02-01 00:00:00	1
SAINT LO	2006-02-01 00:00:00	3
SAINT LO	2006-02-01 00:00:00	1
SAINT LO	2006-02-01 00:00:00	1
SAINT JACQUES DE LA LANDE	2006-02-01 00:00:00	3
ALENCON	2006-02-01 00:00:00	2
CHAMPIGNY SUR MARNE	2006-02-01 00:00:00	1
EVREUX	2006-02-01 00:00:00	1
SAINT LEONARD DES BOIS	2006-02-01 00:00:00	1
SAINT SATURNIN	2006-02-01 00:00:00	1
SAINT SATURNIN	2006-02-01 00:00:00	2
MAMERS	2006-02-01 00:00:00	1
GUYANCOURT	2006-02-01 00:00:00	1
BATILLY	2006-02-01 00:00:00	1
LIBOURNE	2006-02-01 00:00:00	1
ANCTEVILLE	2006-02-01 00:00:00	2
LE BIGNON DU MAINE	2006-02-01 00:00:00	1
LE BIGNON DU MAINE	2006-02-01 00:00:00	1
TREON	2006-02-01 00:00:00	1
TREON	2006-02-01 00:00:00	1
CAEN	2006-02-01 00:00:00	1
MORTAGNE AU PERCHE	2006-02-01 00:00:00	1
MORTAGNE AU PERCHE	2006-02-01 00:00:00	1
MORTAGNE AU PERCHE	2006-02-01 00:00:00	1
LIGNIERES ORGERES	2006-02-02 00:00:00	1
NOGENT LE ROTROU	2006-01-30 00:00:00	1
VITRE	2006-01-30 00:00:00	1
LE MANS	2006-01-30 00:00:00	1
HERMEVILLE	2006-01-30 00:00:00	1
LE MANS	2006-01-30 00:00:00	3
PONTS	2006-01-30 00:00:00	1
JAVENE	2006-01-30 00:00:00	2
CHAMPFLEUR	2006-01-30 00:00:00	3
ARGENTAN	2006-01-30 00:00:00	3
AUNOU LE FAUCON	2006-01-30 00:00:00	1
ALENCON	2006-01-31 00:00:00	2
CAEN	2006-01-31 00:00:00	2
REGNEVILLE SUR MER	2006-01-31 00:00:00	1
SOURDEVAL	2006-01-31 00:00:00	3
SOURDEVAL	2006-01-31 00:00:00	1
VAUTORTE	2006-01-31 00:00:00	1
CONDE EN NORMANDIE	2006-01-31 00:00:00	1
CONDE EN NORMANDIE	2006-01-31 00:00:00	3
CRAMENIL	2006-01-31 00:00:00	3
YERVILLE	2006-01-31 00:00:00	1
YERVILLE	2006-01-31 00:00:00	1
YERVILLE	2006-01-31 00:00:00	1
YERVILLE	2006-01-31 00:00:00	1
YERVILLE	2006-01-31 00:00:00	3
LE MOLAY LITTRY	2006-01-31 00:00:00	1
LE MOLAY LITTRY	2006-01-31 00:00:00	3
LE MOLAY LITTRY	2006-01-31 00:00:00	2
VIRE NORMANDIE	2006-01-31 00:00:00	5
MORTAGNE AU PERCHE	2006-02-03 00:00:00	2
NOGENT LE BERNARD	2006-01-31 00:00:00	2
SOLIERS	2006-02-01 00:00:00	1
LE MESNIL TOVE	2006-02-01 00:00:00	1
BEAUMONTEL	2006-02-01 00:00:00	1
ECARDENVILLE LA CAMPAGNE	2006-02-01 00:00:00	2
NOIRMOUTIER EN L'ILE	2006-02-01 00:00:00	1
SOUGE LE GANELON	2006-02-01 00:00:00	1
SAINT BRICE EN COGLES	2006-02-01 00:00:00	1
SOLIERS	2006-02-01 00:00:00	1
NOUAN LE FUZELIER	2006-02-01 00:00:00	2
BRIOUZE	2006-02-01 00:00:00	1
BRIOUZE	2006-02-01 00:00:00	1
NEUVILLE SUR SARTHE	2006-02-01 00:00:00	2
DOMFRONT EN POIRAIE	2006-02-01 00:00:00	1
FAVEROLLES	2006-02-01 00:00:00	1
LIVRY	2006-02-01 00:00:00	2
LA CHAPELLE BICHE	2006-02-01 00:00:00	2
SAINT PREST	2006-02-01 00:00:00	2
BOURGUEBUS	2006-02-01 00:00:00	1
BOURGUEBUS	2006-02-01 00:00:00	1
FOUGERES	2006-02-02 00:00:00	1
GOUFFERN EN AUGE	2006-02-02 00:00:00	1
